developer,votes
CharlieH,916
Freedomize Studio,916
Vox Games,915
Glowstick Entertainment,914
Fraoula,908
Capybara Games,903
Cornfox & Bros.,902
Oddworld Inhabitants,902
"Mane6, Inc.",901
Andrii Vintsevych,900
Sidhe,899
Suits & Sandals,899
Satur Entertainment,897
Lavaboots Studios,894
Campfire Games,893
"Dejobaan Games, LLC",892
"Marauder Interactive, LLC",889
Over the Top Games,882
Thunder Devs.,882
"Laser Guided Games, LLC",869
MagicalTimeBean,867
Jasper Byrne,866
AwesomeBlade,863
Conatus Creative Inc.,860
Tiger Style,859
Slipgate Ironworks™,857
Foxoft,856
Wonderstruck,856
InterAction studios,852
Archive Entertainment,850
Lizardcube,849
Whirlpool,848
Awfully Nice Studios,847
Indomitus Games,847
Larian Studios,843
BumpkinBrothers,843
Mighty Games,833
Lapovich,830
Hydravision Entertainment,827
Cyanide Studios,820
Orlyapps,804
Pixeljam,803
Q-Games Ltd.,801
CreativeForge Games,799
Phr00t's Software,797
Statespace,792
Old B1ood,791
Ian Fitz,790
Aleksey Abramenko,789
Zero Gravity,787
Loren Lemcke,787
艺龙游戏,785
Still Running,781
inXile Entertainment,780
MovingBlocks,774
Frogames,773
Phosphor Games,769
HakJak Productions,766
Terri Vellmann,766
Coatsink,765
Lighthouse Games Studio,764
Endless Loop Studios,762
GameCrafterTeam,761
EXOR Studios,758
Ritual Entertainment,749
Pixel Titans,748
Dagestan Technology,746
SEROSOO,745
M2H,745
Ignatus Zuk and Gonzalo Villagomez,744
SuperVillain Studios,743
Magnolia Art,738
Permadeath,734
Team Shifty,734
rebel rabbit,730
ASTRO PORT,728
Hothead Games,725
ILMxLAB,722
RavenSoft / id Software,720
Curve Studios,718
Virtual Basement LLC,717
Omey Salvi,714
JDM4iK,714
Mana Potion Studios,712
Dominique Grieshofer,710
VIS-Games,709
Kudosoft,709
Games Farm,707
LOVIGAME,701
SFB Games,699
"Valkyrie Entertainment, LLC",697
sebagamesdev,694
rdein,692
Bird in Sky,690
Hammerfall Publishing,690
Spark Unlimited,690
Guru Games,687
The Working Parts,686
