developer,votes
Point Bleep Studios,267
Brudingo Team,266
Bristol Street Studios,265
RosePortal Games,265
Boobs Dev,264
Social Loner Studios,264
Rubycone,264
etherane,262
PixelMouse,260
yeo,259
"Bit Kid, Inc.",258
Team DOTS,258
Nordic Trolls,258
Narrator,257
Noumena Studios,257
NickySwan,256
Brainbox Software,255
Capybara Games,255
Poni-Pachet SY,255
Avallon Alliance,255
GameChanger Studio,254
Ubisoft Sofia,254
Code Mystics,253
Spiderweb Software,252
Frostkeep Studios,252
Hunchback Studio,252
Brainseed Factory,251
Phosphor Games,250
GameHouse,248
Freshly Squeezed,248
Warfare Studios,248
Machine 22,246
Torched Hill,245
Redblack Spade,245
Appeal,244
Tuttifrutti Interactive,244
章鱼罐头制作组,243
Studio Gamaii,243
2 Monkeys,243
EastFog Studios,242
4Fufelz,242
Peltast Software,241
Erotes studio,241
team BitClub,241
Oomst Games,240
Picaresque Studio,240
Dylan Loney,240
Bitten Toast Games Inc.,240
Uri Games,239
Investigate North,239
Toge Productions,238
TB Games,237
Freejam,237
Onaemo Studio,237
Rasul Mono,237
Ben 'Yahtzee' Croshaw,237
Super Punk Games,235
The Voxel Agents,235
Tender Claws,235
AHEARTFULOFGAMES,235
Nifflas' Games,234
Frontier,234
Elden Pixels,233
KeokeN Interactive,233
Mattis Folkestad,232
ION LANDS,232
GRIN,232
Torrunt,231
Golden Game Barn,230
Waterlily Games,230
MagicIndie,230
Sierra Lee,230
Salamandra88,229
Hendrik Felix Pohl,229
light,229
CrazyBunch,228
Clewcat Games,228
Kheops Studio,228
LightsoutGames,227
Stolen Couch Games,226
Cleversan Software,226
StarBlade,226
Toadman Interactive,226
LLC Blini Games,226
DuCats Games Studio,224
BitFinity,224
craigz,224
MAD Virtual Reality Studio,223
Davioware and Quazi,222
"CloudGate Studio, Inc.",222
Bear & Cat Studio,222
Wenkly Studio Sp. z o.o.,222
吃了就睡工作室,222
Specialbit Studio,221
Tuque Games,220
Tricktale,220
Krystian Majewski,220
AuraLab,219
NVYVE® Studios,219
Lofty Sky Entertainment Inc.,218
Brainy Studio LLC,217
Devespresso Games,217
The Bitfather,216
Awesome Games Studio,216
ShaunJS,215
Michaela Laws,215
Salvation,215
Game Freak,215
"Castle Pixel, LLC.",214
Anima Project,213
Rosebud Games,213
Daylight Studios,213
URSE Games,213
Crisp App Studio,213
Twelve Tiles,212
InSayn,212
Cyberith GmbH,212
Balcony Team,212
Pixel vs Pixel,212
ecoddr,211
Kite & Lightning,211
NGD Studios,211
Felix Wunderlich,210
Creoteam,210
14 Hours Productions,210
ATOMIC BREATH,209
Frog Paw Studios,207
Proximity Games,207
PaperSeven LTD,207
Games With Dragons In,207
Rolling Crown,207
Orange_Juice,207
IceSitruuna,207
Camouflaj,207
Kidalang,206
Naiad Entertainment LLC,206
Cococucumber,206
100 Stones Interactive,206
EggNut,205
The Station,205
GaluluGame,205
Lukas Navratil,204
Robot House,204
Julian Edison,204
Redshift,204
White Paper Games,204
Angry Mob Games,204
Brandon Brizzi,203
Massive Monster,203
Paper Castle Games,203
Last Dimension,203
"Bit Planet Games, LLC",202
Grimnir Media,202
IzHard,202
Bread Machine Games,202
David Moralejo Sánchez,201
Fantasy Flight Interactive,201
Inusuku,200
Ruskatuli,199
Game2Gather,199
Demon Wagon Studios,199
Cantaloupe Kids,199
Crackpot Entertainment,198
Grundislav Games,198
AliveGameStudio,197
Thorne Games,196
JE Software,195
Vertigo Games,195
Aleksandar Kuzmanovic Games Inc.,194
Team HalfBeard,194
Vanimals,194
PestoForce,194
Pixbits,193
Mihai Morosanu,192
scriptwelder,191
Bomber Studio,191
Gamers for Good,191
Tequila Works,190
Abigail Corfman,190
Dynamic Media Triad,190
Breakfall,190
Emmanuel Salva Cruz,189
Arbitrary Metric,189
ILMxLAB,189
Alex Olinkiewicz,189
Sheer Studios,189
"Beep Games, Inc.",188
Drixy Games,188
Studio Forge Ltd,187
DVloper,187
RaveyLarge,186
JiangHu Studio,186
PLAYWITH Inc.,186
Slikey Games,186
MyDreamForever,186
DigiPotato Studio,185
Crunching Koalas,185
Retronic Games,185
"""Nikita """"Ghost_RUS""""""",184
TARO,184
Nival,184
铸城工作室,184
Stoner Tomohito,183
Corrosive Studios LLC,183
KEMCO,182
Battenberg Software,182
LAME Dimension,182
SPG STUDIO,182
Frima Studio,182
SMAC Games,182
HFM Games,182
Zero Research Institute,181
Mystic Box,181
